zona_climatica;suris_range;volris_range;supdi_range;EPgl_nren;EPgl_ren;CO2
A;1000-5000;5000-10000;1000-5000;0.0;0.0;0.0
A;1000-5000;5000-10000;>5000;0.0;0.0;0.0
A;1000-5000;>10000;<50;0.0;0.0;0.0
A;1000-5000;>10000;50-100;0.0;0.0;0.0
A;1000-5000;>10000;100-200;0.0;0.0;0.0
A;1000-5000;>10000;200-500;0.0;0.0;0.0
A;1000-5000;>10000;500-1000;0.0;0.0;0.0
A;1000-5000;>10000;1000-5000;0.0;0.0;0.0
A;1000-5000;>10000;>5000;0.0;0.0;0.0
A;>5000;<50;<50;0.0;0.0;0.0
A;>5000;<50;50-100;0.0;0.0;0.0
A;>5000;<50;100-200;0.0;0.0;0.0
A;>5000;<50;200-500;0.0;0.0;0.0
A;>5000;<50;500-1000;0.0;0.0;0.0
A;>5000;<50;1000-5000;0.0;0.0;0.0
A;>5000;<50;>5000;0.0;0.0;0.0
A;>5000;50-100;<50;0.0;0.0;0.0
A;>5000;50-100;50-100;0.0;0.0;0.0
A;>5000;50-100;100-200;0.0;0.0;0.0
A;>5000;50-100;200-500;0.0;0.0;0.0
A;>5000;50-100;500-1000;0.0;0.0;0.0
A;>5000;50-100;1000-5000;0.0;0.0;0.0
A;>5000;50-100;>5000;0.0;0.0;0.0
A;>5000;100-200;<50;0.0;0.0;0.0
A;>5000;100-200;50-100;0.0;0.0;0.0
A;>5000;100-200;100-200;0.0;0.0;0.0
A;>5000;100-200;200-500;0.0;0.0;0.0
A;>5000;100-200;500-1000;0.0;0.0;0.0
A;>5000;100-200;1000-5000;0.0;0.0;0.0
A;>5000;100-200;>5000;0.0;0.0;0.0
A;>5000;200-500;<50;0.0;0.0;0.0
A;>5000;200-500;50-100;0.0;0.0;0.0
A;>5000;200-500;100-200;0.0;0.0;0.0
A;>5000;200-500;200-500;0.0;0.0;0.0
A;>5000;200-500;500-1000;0.0;0.0;0.0
A;>5000;200-500;1000-5000;0.0;0.0;0.0
A;>5000;200-500;>5000;0.0;0.0;0.0
A;>5000;500-1000;<50;0.0;0.0;0.0
A;>5000;500-1000;50-100;0.0;0.0;0.0
A;>5000;500-1000;100-200;0.0;0.0;0.0
A;>5000;500-1000;200-500;0.0;0.0;0.0
A;>5000;500-1000;500-1000;0.0;0.0;0.0
A;>5000;500-1000;1000-5000;0.0;0.0;0.0
A;>5000;500-1000;>5000;0.0;0.0;0.0
A;>5000;1000-5000;<50;0.0;0.0;0.0
A;>5000;1000-5000;50-100;0.0;0.0;0.0
A;>5000;1000-5000;100-200;0.0;0.0;0.0
A;>5000;1000-5000;200-500;0.0;0.0;0.0
A;>5000;1000-5000;500-1000;0.0;0.0;0.0
A;>5000;1000-5000;1000-5000;0.0;0.0;0.0
A;>5000;1000-5000;>5000;0.0;0.0;0.0
A;>5000;5000-10000;<50;0.0;0.0;0.0
A;>5000;5000-10000;50-100;0.0;0.0;0.0
A;>5000;5000-10000;100-200;0.0;0.0;0.0
A;>5000;5000-10000;200-500;0.0;0.0;0.0
A;>5000;5000-10000;500-1000;0.0;0.0;0.0
A;>5000;5000-10000;1000-5000;0.0;0.0;0.0
A;>5000;5000-10000;>5000;0.0;0.0;0.0
A;>5000;>10000;<50;0.0;0.0;0.0
A;>5000;>10000;50-100;0.0;0.0;0.0
A;>5000;>10000;100-200;0.0;0.0;0.0
A;>5000;>10000;200-500;0.0;0.0;0.0
A;>5000;>10000;500-1000;0.0;0.0;0.0
A;>5000;>10000;1000-5000;0.0;0.0;0.0
A;>5000;>10000;>5000;0.0;0.0;0.0
B;<50;<50;<50;0.0;0.0;0.0
B;<50;<50;50-100;0.0;0.0;0.0
B;<50;<50;100-200;0.0;0.0;0.0
B;<50;<50;200-500;0.0;0.0;0.0
B;<50;<50;500-1000;0.0;0.0;0.0
B;<50;<50;1000-5000;0.0;0.0;0.0
B;<50;<50;>5000;0.0;0.0;0.0
B;<50;50-100;<50;146.63;19.92;30.81
B;<50;50-100;50-100;187.58;19.93;39.09
B;<50;50-100;100-200;254.63;22.15;52.16
B;<50;50-100;200-500;381.25;12.24;77.59
B;<50;50-100;500-1000;134.65;0.0;25.25
B;<50;50-100;1000-5000;0.0;0.0;0.0
B;<50;50-100;>5000;0.0;0.0;0.0
B;<50;100-200;<50;118.13;18.15;25.2
B;<50;100-200;50-100;128.04;18.59;26.75
B;<50;100-200;100-200;186.18;21.46;38.33
B;<50;100-200;200-500;235.29;20.95;47.72
B;<50;100-200;500-1000;328.61;14.44;66.21
B;<50;100-200;1000-5000;163.63;142.1;33.59
B;<50;100-200;>5000;0.0;0.0;0.0
B;<50;200-500;<50;126.82;14.72;26.36
B;<50;200-500;50-100;129.33;18.16;27.12
B;<50;200-500;100-200;162.22;21.43;33.28
B;<50;200-500;200-500;227.66;26.76;46.08
B;<50;200-500;500-1000;389.62;48.14;80.0
B;<50;200-500;1000-5000;373.2;8.03;74.25
B;<50;200-500;>5000;0.0;0.0;0.0
B;<50;500-1000;<50;275.04;42.66;61.36
B;<50;500-1000;50-100;104.17;19.13;22.5
B;<50;500-1000;100-200;211.88;6.21;43.3
B;<50;500-1000;200-500;350.71;21.76;71.88
B;<50;500-1000;500-1000;389.37;39.8;74.58
B;<50;500-1000;1000-5000;0.0;0.0;0.0
B;<50;500-1000;>5000;0.0;0.0;0.0
B;<50;1000-5000;<50;0.0;0.0;0.0
B;<50;1000-5000;50-100;0.0;0.0;0.0
B;<50;1000-5000;100-200;335.68;80.91;79.17
B;<50;1000-5000;200-500;117.2;19.07;24.76
B;<50;1000-5000;500-1000;375.14;8.81;76.34
B;<50;1000-5000;1000-5000;0.0;0.0;0.0
B;<50;1000-5000;>5000;0.0;0.0;0.0
B;<50;5000-10000;<50;0.0;0.0;0.0
