zona_climatica;suris_range;volris_range;EPgl_nren;EPgl_ren;CO2
D;1000-5000;>10000;0.0;0.0;0.0
D;>5000;<50;0.0;0.0;0.0
D;>5000;50-100;0.0;0.0;0.0
D;>5000;100-200;0.0;0.0;0.0
D;>5000;200-500;0.0;0.0;0.0
D;>5000;500-1000;0.0;0.0;0.0
D;>5000;1000-5000;0.0;0.0;0.0
D;>5000;5000-10000;0.0;0.0;0.0
D;>5000;>10000;0.0;0.0;0.0
E;<50;<50;0.0;0.0;0.0
E;<50;50-100;268.81;27.55;54.11
E;<50;100-200;206.53;18.18;41.57
E;<50;200-500;227.01;22.13;45.27
E;<50;500-1000;276.04;20.72;54.81
E;<50;1000-5000;209.37;18.3;43.01
E;<50;5000-10000;0.0;0.0;0.0
E;<50;>10000;0.0;0.0;0.0
E;50-100;<50;0.0;0.0;0.0
E;50-100;50-100;212.24;12.54;42.52
E;50-100;100-200;186.96;12.96;37.79
E;50-100;200-500;191.51;14.76;38.42
E;50-100;500-1000;208.48;32.25;41.48
E;50-100;1000-5000;247.93;18.04;49.63
E;50-100;5000-10000;0.0;0.0;0.0
E;50-100;>10000;0.0;0.0;0.0
E;100-200;<50;0.0;0.0;0.0
E;100-200;50-100;190.35;8.62;38.4
E;100-200;100-200;190.04;15.13;38.56
E;100-200;200-500;189.31;17.65;38.03
E;100-200;500-1000;184.38;28.16;37.0
E;100-200;1000-5000;215.66;34.79;43.56
E;100-200;5000-10000;0.0;0.0;0.0
E;100-200;>10000;0.0;0.0;0.0
E;200-500;<50;0.0;0.0;0.0
E;200-500;50-100;169.45;16.5;32.18
E;200-500;100-200;173.53;18.94;37.4
E;200-500;200-500;167.38;16.36;34.12
E;200-500;500-1000;178.67;25.13;35.89
E;200-500;1000-5000;172.1;29.53;34.71
E;200-500;5000-10000;0.0;0.0;0.0
E;200-500;>10000;0.0;0.0;0.0
E;500-1000;<50;0.0;0.0;0.0
E;500-1000;50-100;0.0;0.0;0.0
E;500-1000;100-200;190.46;2.05;37.59
E;500-1000;200-500;138.41;9.27;28.3
E;500-1000;500-1000;184.98;5.89;38.1
E;500-1000;1000-5000;170.33;16.34;34.36
E;500-1000;5000-10000;0.0;0.0;0.0
E;500-1000;>10000;0.0;0.0;0.0
E;1000-5000;<50;0.0;0.0;0.0
E;1000-5000;50-100;0.0;0.0;0.0
E;1000-5000;100-200;0.0;0.0;0.0
E;1000-5000;200-500;0.0;0.0;0.0
E;1000-5000;500-1000;0.0;0.0;0.0
E;1000-5000;1000-5000;0.0;0.0;0.0
E;1000-5000;5000-10000;0.0;0.0;0.0
E;1000-5000;>10000;0.0;0.0;0.0
E;>5000;<50;0.0;0.0;0.0
E;>5000;50-100;0.0;0.0;0.0
E;>5000;100-200;0.0;0.0;0.0
E;>5000;200-500;0.0;0.0;0.0
E;>5000;500-1000;0.0;0.0;0.0
E;>5000;1000-5000;0.0;0.0;0.0
E;>5000;5000-10000;0.0;0.0;0.0
E;>5000;>10000;0.0;0.0;0.0
F;<50;<50;0.0;0.0;0.0
F;<50;50-100;278.52;28.99;60.45
F;<50;100-200;255.19;31.8;54.62
F;<50;200-500;274.92;39.34;56.62
F;<50;500-1000;236.74;10.73;55.45
F;<50;1000-5000;262.91;50.76;54.74
F;<50;5000-10000;0.0;0.0;0.0
F;<50;>10000;0.0;0.0;0.0
F;50-100;<50;0.0;0.0;0.0
F;50-100;50-100;279.11;20.07;58.23
F;50-100;100-200;240.39;28.4;51.81
F;50-100;200-500;241.81;31.85;50.96
F;50-100;500-1000;227.32;52.95;47.62
F;50-100;1000-5000;275.41;18.69;52.38
F;50-100;5000-10000;0.0;0.0;0.0
F;50-100;>10000;0.0;0.0;0.0
F;100-200;<50;0.0;0.0;0.0
F;100-200;50-100;244.65;18.61;49.9
F;100-200;100-200;258.5;11.93;52.78
F;100-200;200-500;228.47;34.17;48.27
F;100-200;500-1000;212.13;44.71;44.66
F;100-200;1000-5000;224.0;52.44;48.35
F;100-200;5000-10000;0.0;0.0;0.0
F;100-200;>10000;0.0;0.0;0.0
F;200-500;<50;0.0;0.0;0.0
F;200-500;50-100;225.15;0.42;55.55
F;200-500;100-200;184.95;2.68;41.48
F;200-500;200-500;206.15;39.27;42.93
F;200-500;500-1000;203.58;39.78;43.42
F;200-500;1000-5000;184.85;43.04;39.85
F;200-500;5000-10000;0.0;0.0;0.0
F;200-500;>10000;0.0;0.0;0.0
F;500-1000;<50;0.0;0.0;0.0
F;500-1000;50-100;200.73;6.52;38.56
F;500-1000;100-200;266.5;1.82;50.95
F;500-1000;200-500;247.94;0.35;66.31
F;500-1000;500-1000;325.57;1.4;77.03
F;500-1000;1000-5000;179.45;26.67;40.62
F;500-1000;5000-10000;0.0;0.0;0.0
F;500-1000;>10000;0.0;0.0;0.0
F;1000-5000;<50;0.0;0.0;0.0
F;1000-5000;50-100;0.0;0.0;0.0
F;1000-5000;100-200;0.0;0.0;0.0
F;1000-5000;200-500;0.0;0.0;0.0
F;1000-5000;500-1000;0.0;0.0;0.0
F;1000-5000;1000-5000;0.0;0.0;0.0
F;1000-5000;5000-10000;0.0;0.0;0.0
F;1000-5000;>10000;0.0;0.0;0.0
F;>5000;<50;0.0;0.0;0.0
F;>5000;50-100;0.0;0.0;0.0
F;>5000;100-200;0.0;0.0;0.0
F;>5000;200-500;0.0;0.0;0.0
F;>5000;500-1000;0.0;0.0;0.0
F;>5000;1000-5000;0.0;0.0;0.0
F;>5000;5000-10000;0.0;0.0;0.0
F;>5000;>10000;0.0;0.0;0.0
