CODREG;REGIONE;CODPRO;PROVINCIA;CODCOM;COMUNE;PROCOM;SEZ2011;NSEZ;ACE;CODLOC;CODASC;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33;P34;P35;P36;P37;P38;P39;P40;P41;P42;P43;P44;P45;P46;P47;P48;P49;P50;P51;P52;P53;P54;P55;P56;P57;P58;P59;P60;P61;P62;P64;P65;P66;P128;P129;P130;P131;P132;P135;P136;P137;P138;P139;P140;ST1;ST2;ST3;ST4;ST5;ST6;ST7;ST8;ST9;ST10;ST11;ST12;ST13;ST14;ST15;A2;A3;A5;A6;A7;A44;A46;A47;A48;PF1;PF2;PF3;PF4;PF5;PF6;PF7;PF8;PF9;E1;E2;E3;E4;E5;E6;E7;E8;E9;E10;E11;E12;E13;E14;E15;E16;E17;E18;E19;E20;E21;E22;E23;E24;E25;E26;E27;E28;E29;E30;E31
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;13;Challand-Saint-Anselme;7013;70130000012;12;0;24710;;13;7;6;5;7;0;0;1;2;4;0;0;1;0;0;0;0;0;3;1;1;1;0;0;0;2;4;0;1;0;0;0;0;0;1;1;1;0;0;0;0;1;2;0;1;13;1;5;2;5;0;0;7;0;2;2;3;0;0;9;9;0;5;5;0;4;2;0;0;0;0;0;3;4;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;55;0;55;0;380;0;6;0;6;13;2;2;1;1;0;0;0;67;44;41;3;30;2;9;1;1;5;10;11;5;2;1;5;4;14;22;1;5;21;13;2;0;0;102;10;29;2;0
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;13;Challand-Saint-Anselme;7013;70130000019;19;0;40001;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;0;10;0;0;10;0;0;0;0;0;0;0;0;0;10;0;0;10;0;0;0;0;0;10;0;10;0;0
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;13;Challand-Saint-Anselme;7013;70130000021;21;0;40001;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;1;0;0;1;0;0;0;0;0;2;0;0;0;2;0;0;0;0;4;0;1;1;0
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;13;Challand-Saint-Anselme;7013;70130000023;23;0;40001;;4;2;2;2;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;4;0;1;1;2;0;0;2;0;0;1;1;0;0;2;2;0;1;1;0;2;1;0;0;0;0;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;9;0;9;0;230;1;1;1;3;4;2;1;0;0;0;0;0;9;9;9;0;7;0;2;8;0;0;1;0;0;0;0;0;0;1;7;1;6;2;1;0;0;0;13;3;2;2;2
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;13;Challand-Saint-Anselme;7013;70130000024;24;0;40001;;3;1;2;1;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;1;0;0;1;0;0;0;2;1;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;0;6;0;70;0;0;1;1;3;0;0;1;0;0;0;0;5;5;5;0;5;0;0;2;0;0;0;3;0;0;0;0;0;4;1;0;1;3;1;0;0;0;10;1;2;2;0
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;13;Challand-Saint-Anselme;7013;70130000025;25;0;40001;;6;3;3;4;2;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;6;0;0;4;2;0;0;3;0;0;2;1;0;0;4;4;0;2;2;0;2;1;0;0;0;0;0;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;0;108;0;2;0;2;6;0;0;2;0;0;0;0;4;4;4;0;2;0;2;0;0;1;0;1;0;1;0;1;0;2;2;0;1;2;1;0;0;0;9;3;1;0;0
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;14;Challand-Saint-Victor;7014;70140000001;1;0;10002;;67;37;30;24;28;6;5;4;15;15;4;0;3;2;4;0;5;2;5;5;7;3;3;5;4;3;7;5;7;1;2;0;3;2;3;3;4;2;2;4;1;2;4;1;3;63;6;24;18;13;2;0;35;3;14;11;6;1;0;35;34;1;23;22;1;26;11;5;1;1;3;3;7;24;17;7;3;2;0;1;2;0;1;1;1;1;1;0;0;0;3;34;87;0;87;0;3398;3;27;5;35;67;13;15;5;1;1;0;0;103;95;68;27;37;2;29;1;13;25;17;7;3;2;0;0;1;23;35;9;35;20;11;2;0;0;122;33;24;11;0
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;14;Challand-Saint-Victor;7014;70140000002;2;0;10002;;213;112;101;86;91;7;18;11;52;47;5;4;4;13;11;6;10;7;15;16;17;14;15;9;15;11;9;19;26;6;7;5;6;4;8;6;10;6;11;3;8;9;4;9;10;198;10;63;65;48;12;0;104;4;32;41;21;6;0;99;94;5;60;58;2;84;34;15;12;6;4;2;48;72;53;26;8;2;4;3;1;1;1;0;5;0;0;3;0;0;8;102;196;0;196;0;8154;24;64;14;102;206;43;33;10;14;1;1;6;224;197;150;47;82;0;68;39;11;31;19;26;13;10;1;0;12;46;73;19;51;67;25;5;2;0;320;49;65;33;3
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;14;Challand-Saint-Victor;7014;70140000003;3;0;20006;;110;53;57;47;44;4;12;3;23;22;1;4;3;6;2;8;4;3;8;8;7;8;14;10;6;3;4;8;11;2;1;4;0;2;3;5;4;4;4;7;4;2;3;4;4;104;9;34;36;20;5;0;51;7;16;19;5;4;0;61;56;5;32;31;1;33;14;1;7;2;1;0;20;43;24;12;8;5;4;3;1;3;2;0;8;0;0;0;0;0;8;53;101;0;101;0;3593;6;38;9;53;110;20;15;12;6;0;0;0;123;111;72;39;62;4;6;32;8;3;16;7;2;4;0;0;3;10;39;20;38;19;11;2;1;1;157;34;25;13;0
2;Valle d'Aosta/Vallée d'Aoste;7;Valle d'Aosta/Vallée d'Aoste;14;Challand-Saint-Victor;7014;70140000004;4;0;20001;;13;6;7;8;3;0;2;0;3;2;0;1;0;0;1;2;2;0;0;0;1;2;2;1;0;1;0;1;0;0;1;0;1;0;0;0;1;0;1;1;0;1;0;0;0;13;0;4;5;3;1;0;6;0;1;4;0;1;0;5;5;0;3;3;0;5;2;1;2;1;1;0;1;7;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;27;0;27;0;337;0;4;1;5;13;1;2;0;2;0;0;0;33;25;22;3;19;0;3;10;0;0;3;4;1;2;2;0;0;6;16;0;14;7;1;0;0;0;32;9;12;1;0
